成分名称,功效分类,适用肤质,注意事项,简要说明
烟酰胺,美白|抗氧化的,所有肤质,初期可能轻微刺痛,抑制黑色素转移的美白成分
透明质酸,保湿的,所有肤质,注意分子量大小,明星保湿成分深层补水
玻尿酸,保湿的,所有肤质,需配合封闭性成分,吸水量可达自身1000倍
377,美白的,非敏感肌,需避光保存,强效美白成分抑制酪氨酸酶
维生素C,美白|抗氧化的,非敏感肌,需避光保存,抗氧化抑制黑色素生成
甘油,保湿的,所有肤质,浓度过高可能粘腻,经典保湿剂吸湿补水
丁二醇,保湿的,所有肤质,无明显注意事项,常用保湿溶剂提升肤感
丙二醇,保湿的,所有肤质,敏感肌慎用,保湿溶剂帮助成分渗透
泛醇,修复|保湿的,所有肤质,无明显注意事项,维生素B5前体修复屏障
神经酰胺,修复的,敏感肌,注意与其他成分搭配,修复屏障关键成分
角鲨烷,保湿|修复的,所有肤质,可能致痘,接近人体皮脂的保湿成分
生育酚,抗氧化的,所有肤质,无明显注意事项,维生素E抗氧化成分
视黄醇,抗衰老的,非敏感肌,孕妇禁用,抗衰老明星成分促进胶原
维A醇,抗衰老的,非敏感肌,孕妇禁用,抗衰老明星成分促进胶原
水杨酸,去角质|祛痘的,非敏感肌,敏感肌慎用,脂溶性酸促进角质代谢
果酸,去角质|美白的,非敏感肌,需防晒,水溶性酸促进角质代谢
羟基乙酸,去角质的,非敏感肌,需防晒,分子量最小的果酸
乳酸,保湿|去角质的,所有肤质,无明显注意事项,温和果酸保湿滋养
氨基酸,清洁|保湿的,所有肤质,无明显注意事项,温和表活剂氨基酸表面活性剂
甜菜碱,保湿的,所有肤质,无明显注意事项,天然保湿因子提升肤感
尿囊素,修复|保湿的,所有肤质,无明显注意事项,舒缓修复成分促进愈合
红没药醇,修复|舒敏的,敏感肌,无明显注意事项,洋甘菊提取修复舒缓
积雪草苷,修复|抗炎的,所有肤质,无明显注意事项,促进胶原修复疤痕
EGF,修复|抗衰老的,所有肤质,需冷链保存,表皮生长因子促进修复
胜肽,抗衰老的,所有肤质,需长期使用,信号肽促进胶原合成
肉毒杆菌肽,抗皱的,所有肤质,需长期使用,类似肉毒素的抗皱成分
六胜肽,抗皱的,所有肤质,无明显注意事项,类肉毒素放松皱纹
咖啡因,消肿|抗氧化的,所有肤质,无明显注意事项,促进血液循环消水肿
茶多酚,抗氧化的,所有肤质,无明显注意事项,绿茶提取抗氧化成分
熊果苷,美白的,非敏感肌,需避光保存,美白成分抑制酪氨酸酶
曲酸,美白的,非敏感肌,需避光保存,发酵产物美白成分
传明酸,美白的,所有肤质,无明显注意事项,凝血酸美白成分抑制黑色素
壬二酸,美白|祛痘的,所有肤质,需建立耐受,双重功效成分
阿魏酸,抗氧化的,所有肤质,无明显注意事项,抗氧化增强防晒效果
辅酶Q10,抗氧化的,所有肤质,无明显注意事项,自身抗氧化成分
谷胱甘肽,美白的,所有肤质,无明显注意事项,抗氧化美白成分
虾青素,抗氧化的,所有肤质,无明显注意事项,超强抗氧化成分
花青素,抗氧化的,所有肤质,无明显注意事项,葡萄籽提取抗氧化
白藜芦醇,抗氧化的,所有肤质,无明显注意事项,红酒提取强效抗氧化
葡萄籽提取物,抗氧化的,所有肤质,无明显注意事项,含原花青素抗氧化
金盏花提取物,舒敏|抗炎的,所有肤质,无明显注意事项,舒缓敏感抗炎
洋甘菊提取物,舒敏|抗炎的,敏感肌,无明显注意事项,母菊提取舒缓抗敏
马齿苋提取物,舒敏|抗炎的,所有肤质,无明显注意事项,天然舒缓成分
银耳提取物,保湿的,所有肤质,无明显注意事项,植物透明质酸保湿
燕麦提取物,舒敏的,敏感肌,无明显注意事项,缓解瘙痒舒敏
芦荟提取物,保湿|舒敏的,所有肤质,含蒽醌需注意,经典舒缓保湿成分
海藻糖,保湿的,所有肤质,无明显注意事项,天然保湿剂保护细胞
迷迭香提取物,抗氧化的,所有肤质,无明显注意事项,天然抗氧化防腐
香草提取物,香精的,所有肤质,需注意致敏,天然香料成分
苯乙基间苯二酚,美白的,非敏感肌,需避光保存,氢醌衍生物强效美白
4-甲氧基水杨酸钾,美白的,所有肤质,无明显注意事项,杜鹃花酸衍生物美白
甲氧基肉桂酸乙基己酯,防晒的,所有肤质,无明显注意事项,化学防晒剂吸收UVB
二苯酮-3,防晒的,所有肤质,敏感肌慎用,化学防晒剂吸收UVA/UVB
奥克立林,防晒的,所有肤质,无明显注意事项,化学防晒剂稳定其他防晒剂
二氧化钛,防晒的,所有肤质,无明显注意事项,物理防晒剂反射紫外线
氧化锌,防晒|舒敏的,所有肤质,无明显注意事项,物理防晒剂反射UVA
环五聚二甲基硅氧烷,柔润的,所有肤质,无明显注意事项,硅油改善肤感提升顺滑
聚二甲基硅氧烷,柔润的,所有肤质,无明显注意事项,硅油提升肤感不堵塞毛孔
环己硅氧烷,柔润的,所有肤质,无明显注意事项,挥发性硅油使妆面柔和
苯甲醇,防腐的,所有肤质,需注意致敏,常用防腐剂成分
羟苯甲酯,防腐的,所有肤质,无明显注意事项,paraben类防腐剂
羟苯丙酯,防腐的,所有肤质,无明显注意事项,paraben类防腐剂
苯氧乙醇,防腐的,所有肤质,无明显注意事项,温和防腐剂替代paraben
氯苯甘醚,防腐的,所有肤质,无明显注意事项,温和防腐剂成分
山梨酸钾,防腐的,所有肤质,无明显注意事项,食品级防腐剂
甲基异噻唑啉酮,防腐的,敏感肌慎用,强效防腐剂易致敏
EDTA二钠,螯合的,所有肤质,无明显注意事项,金属离子螯合剂增强稳定
羟基磷酸钙,增稠的,所有肤质,无明显注意事项,粘度调节剂增加质感
黄原胶,增稠的,所有肤质,无明显注意事项,天然增稠剂稳定乳液
卡波姆,增稠的,所有肤质,无明显注意事项,高分子凝胶增稠剂
羟乙基纤维素,增稠的,所有肤质,无明显注意事项,纤维增稠剂稳定体系
聚丙烯酸钠,增稠的,所有肤质,无明显注意事项,高分子吸水增稠剂
鲸蜡醇,柔润的,所有肤质,无明显注意事项,脂肪醇柔软肌肤
硬脂醇,柔润的,所有肤质,无明显注意事项,脂肪醇增加稠度提升质感
鲸蜡硬脂醇,柔润的,所有肤质,无明显注意事项,乳化剂稳定水油体系
单硬脂酸甘油酯,乳化|柔润的,所有肤质,无明显注意事项,常用乳化剂成分
聚氧乙烯硬脂酸酯,乳化的,所有肤质,无明显注意事项,非离子乳化剂
蔗糖硬脂酸酯,乳化的,所有肤质,无明显注意事项,天然乳化剂来源温和
月桂醇聚醚-4,清洁|乳化的,所有肤质,无明显注意事项,表活剂清洁起泡
月桂醇硫酸酯钠,清洁的,非敏感肌,可能过度清洁,SLES表活剂清洁去脂
椰油酰胺丙基甜菜碱,清洁|柔润的,所有肤质,无明显注意事项,两性表活剂温和清洁
椰油酰两性基二乙酸二钠,清洁的,所有肤质,无明显注意事项,氨基酸表活剂温和清洁
月桂酰肌氨酸钠,清洁的,所有肤质,无明显注意事项,氨基酸表活剂温和低刺激
甲基椰油酰基牛磺酸钠,清洁的,所有肤质,无明显注意事项,氨基酸表活剂低刺激
癸基葡萄糖苷,清洁的,所有肤质,无明显注意事项,APG表活剂天然温和
月桂基葡糖苷,清洁的,所有肤质,无明显注意事项,APG表活剂起泡丰富
椰油基葡糖苷,清洁的,所有肤质,无明显注意事项,APG表活剂绿色天然
泊洛沙姆407,增溶的,所有肤质,无明显注意事项,聚合物增溶难溶成分
羟丙基-beta-环糊精,增溶的,所有肤质,无明显注意事项,环��精增溶提升功效
聚乙二醇-400,保湿的,所有肤质,无明显注意事项,水溶性保湿剂帮助渗透
聚乙二醇-4000,增稠的,所有肤质,无明显注意事项,高分子保湿剂增加粘度
甘草酸二钾,舒敏|抗炎的,所有肤质,无明显注意事项,甘草衍生物舒缓抗炎
甘草次酸硬脂酯,舒敏的,所有肤质,无明显注意事项,甘草衍生物舒缓肌肤
龙胆根提取物,抗炎的,所有肤质,无明显注意事项,舒缓肌肤敏感
葛根素,抗氧化的,所有肤质,无明显注意事项,大豆提取物抗氧化
大豆异黄酮,抗衰老的,所有肤质,无明显注意事项,植物雌激素抗衰老
石斛多糖,保湿|抗氧化的,所有肤质,无明显注意事项,兰科植物提取保湿抗氧化
人参皂苷,抗衰老的,所有肤质,无明显注意事项,人参活性成分抗衰老
当归提取物,活血的,所有肤质,无明显注意事项,促进血液循环改善气色
红景天提取物,抗氧化的,所有肤质,无明显注意事项,高原植物抗缺氧
沙棘果油,修复|抗氧化的,所有肤质,无明显注意事项,富含维生素修复肌肤
刺阿干树仁油,修复|抗氧化的,所有肤质,无明显注意事项,摩洛哥坚果油深层滋养
霍霍巴油,保湿的,所有肤质,无明显注意事项,液态蜡滋润不堵塞毛孔
甜杏仁油,保湿|舒敏的,所有肤质,无明显注意事项,温和滋养适合敏感肌
葡萄籽油,抗氧化的,所有肤质,无明显注意事项,富含亚油酸抗氧化
橄榄油,保湿的,所有肤质,无明显注意事项,富含油酸滋润肌肤
山茶花油,保湿的,所有肤质,无明显注意事项,东方保养油修复屏障
米糠油,抗氧化的,所有肤质,无明显注意事项,富含维生素E抗氧化
小麦胚芽油,抗氧化的,所有肤质,无明显注意事项,富含维生素E修复肌肤
生育酚乙酸酯,抗氧化的,所有肤质,无明显注意事项,维生素E衍生物稳定
抗坏血酸磷酸酯钠,美白的,所有肤质,无明显注意事项,VC衍生物稳定美白
抗坏血酸葡糖苷,美白的,所有肤质,无明显注意事项,VC衍生物温和持久美白
3-o-乙基抗坏血酸,美白的,所有肤质,无明显注意事项,VC衍生物高效美白
抗坏血酸四异棕榈酸酯,美白的,所有肤质,无明显注意事项,VC衍生物油溶美白
氨基葡萄糖,抗炎的,所有肤质,无明显注意事项,软骨素前体辅助修复
泛醌,抗氧化的,所有肤质,无明显注意事项,辅酶Q10同源成分
富勒烯,抗氧化的,所有肤质,无明显注意事项,碳纳米球超强抗氧化
超氧化物歧化酶,抗氧化的,所有肤质,需配合稳定剂,抗氧化酶成分
谷氨酰胺,修复的,所有肤质,无明显注意事项,氨基酸修复屏障
赖氨酸,修复的,所有肤质,无明显注意事项,必需氨基酸促进修复
精氨酸,保湿的,所有肤质,无明显注意事项,碱性氨基酸保湿
组氨酸,修复的,所有肤质,无明显注意事项,氨基酸舒缓肌肤
丝蛋白,保湿的,所有肤质,无明显注意事项,蚕丝提取保湿成膜
水解蚕丝蛋白,保湿的,所有肤质,无明显注意事项,小分子蚕丝蛋白渗透
水解胶原蛋白,抗衰老的,所有肤质,无明显注意事项,胶原蛋白保湿提升弹性
可溶性弹性蛋白,抗衰老的,所有肤质,无明显注意事项,弹性蛋白维持弹力
蛋白聚糖,抗衰老的,所有肤质,无明显注意事项,保持肌肤弹性
糖类同分异构体,保湿的,所有肤质,无明显注意事项,天然保湿因子锁水
赤藓糖醇,保湿的,所有肤质,无明显注意事项,多元醇保湿清凉
木糖醇,保湿的,所有肤质,无明显注意事项,多元醇保湿清凉
核糖,修复的,所有肤质,无明显注意事项,细胞能量成分
腺苷,抗衰老的,所有肤质,无明显注意事项,能量分子促进代谢
肌酸,修复的,所有肤质,无明显注意事项,能量成分提升修复
牛磺酸,抗氧化的,所有肤质,无明显注意事项,氨基酸保护细胞
左旋肉碱,代谢的,所有肤质,��明显注意事项,促进脂肪代谢
丙酮酸,去角质的,非敏感肌,需建立耐受,温和有机酸促进代谢
苹果酸,去角质的,所有肤质,无明显注意事项,羟基酸温和去角质
酒石酸,去角质的,所有肤质,无明显注意事项,羟基酸调节pH
柠檬酸,去角质|美白的,所有肤质,无明显注意事项,调节pH促进代谢
葡萄糖酸内酯,去角质的,所有肤质,无明显注意事项,温和AHA稳定去角质
葡萄糖酸,去角质的,所有肤质,无明显注意事项,温和AHA促进代谢
乳糖酸,修复|去角质的,所有肤质,无明显注意事项,第三代果酸温和修复
麦芽糊精,增稠的,所有肤质,无明显注意事项,碳水化合物载体
二氧化硅,磨砂的,所有肤质,无明显注意事项,物理去角质颗粒
硅藻土,清洁的,所有肤质,无明显注意事项,吸附清洁油脂
活性炭,清洁的,所有肤质,无明显注意事项,吸附毛孔杂质
高岭土,清洁的,所有肤质,无明显注意事项,黏土清洁吸附油脂
膨润土,清洁的,所有肤质,无明显注意事项,黏土深层清洁
火山灰,清洁的,所有肤质,无明显注意事项,矿物清洁去角质
薄荷脑,清凉的,所有肤质,需注意用量,清凉止痒收缩毛孔
薄荷醇,清凉的,所有肤质,无明显注意事项,温和清凉舒缓
茶树油,抗菌的,所有肤质,需注意用量,天然抗菌消痘
薰衣草油,舒敏的,所有肤质,需注意致敏,芳香精油舒缓
玫瑰精油,保湿的,所有肤质,需注意致敏,芳香精油保湿抗氧
橙皮苷,抗氧化的,所有肤质,无明显注意事项,柑橘类黄酮强化血管
七叶树提取物,消肿的,所有肤质,无明显注意事项,改善眼部浮肿
假叶树提取物,修复的,所有肤质,无明显注意事项,改善眼部循环
迷迭香酸,抗氧化的,所有肤质,无明显注意事项,迷迭香提取抗氧化
丹宁酸,收敛的,所有肤质,无明显注意事项,收敛紧致肌肤
金缕梅提取物,收敛的,所有肤质,无明显注意事项,收敛毛孔舒缓
表儿茶酚棓酸酯,抗氧化的,所有肤质,无明显注意事项,EGCG高效抗氧
越橘提取物,抗氧化的,所有肤质,无明显注意事项,花青素保护眼部
黑覆盆子提取物,抗氧化的,所有肤质,无明显注意事项,鞣花酸抗氧化
石榴提取物,抗氧化的,所有肤质,无明显注意事项,鞣花酸高效抗氧
覆盆子酮,代谢的,所有肤质,无明显注意事项,促进脂肪分解
藤黄果提取物,代谢的,所有肤质,无明显注意事项,抑制脂肪生成
共轭亚油酸,代谢的,所有肤质,无明显注意事项,天然脂肪酸调节